time,ENV.pressure,ENV.temperature,PHOT.jHCHO -> H2,PHOT.jO1D
0.0,1688.75,4.969166666666666,0.0,0.0
30.0,1688.75,4.969166666666666,0.0,0.0
60.0,1688.75,4.969166666666666,0.0,0.0
90.0,1688.75,4.969166666666666,0.0,0.0
120.0,1688.75,4.969166666666666,0.0,0.0
150.0,1688.75,4.969166666666666,0.0,0.0
180.0,1688.75,4.969166666666666,0.0,0.0
210.0,1688.75,4.969166666666666,0.0,0.0
240.0,1688.75,4.969166666666666,0.0,0.0
270.0,1688.75,4.969166666666666,0.0,0.0
300.0,1688.75,4.969166666666666,0.0,0.0
330.0,1688.75,4.969166666666666,2.1958499999999998e-08,2.848366666666667e-09
360.0,1688.75,4.969166666666666,1.2045866666666666e-06,5.889133333333333e-08
390.0,1688.75,4.969166666666666,4.704133333333334e-06,2.9042333333333335e-07
420.0,1688.75,4.969166666666666,9.851499999999999e-06,1.3060366666666667e-06
450.0,1688.75,4.969166666666666,1.6222583333333333e-05,3.9570500000000005e-06
480.0,1688.75,4.969166666666666,2.25615e-05,8.429683333333333e-06
510.0,1688.75,4.969166666666666,2.8330833333333333e-05,1.4366366666666667e-05
540.0,1688.75,4.969166666666666,3.3320333333333334e-05,2.1132499999999998e-05
570.0,1688.75,4.969166666666666,3.74695e-05,2.8037e-05
600.0,1688.75,4.969166666666666,4.0776166666666664e-05,3.444133333333333e-05
630.0,1688.75,4.969166666666666,4.325783333333333e-05,3.980533333333334e-05
660.0,1688.75,4.969166666666666,4.4932666666666664e-05,4.3711e-05
690.0,1688.75,4.969166666666666,4.5815999999999996e-05,4.5864e-05
720.0,1688.75,4.969166666666666,4.59175e-05,4.611433333333333e-05
750.0,1688.75,4.969166666666666,4.52355e-05,4.444233333333333e-05
780.0,1688.75,4.969166666666666,4.376666666666666e-05,4.09685e-05
810.0,1688.75,4.969166666666666,4.1496666666666665e-05,3.59475e-05
840.0,1688.75,4.969166666666666,3.840583333333334e-05,2.9766166666666666e-05
870.0,1688.75,4.969166666666666,3.4476e-05,2.2932666666666668e-05
900.0,1688.75,4.969166666666666,2.970266666666667e-05,1.6067850000000002e-05
930.0,1688.75,4.969166666666666,2.4125e-05,9.851883333333333e-06
960.0,1688.75,4.969166666666666,1.7901333333333334e-05,4.94995e-06
990.0,1688.75,4.969166666666666,1.146205e-05,1.8197e-06
1020.0,1688.75,4.969166666666666,5.937016666666667e-06,4.5224e-07
1050.0,1688.75,4.969166666666666,1.9253e-06,8.664650000000001e-08
1080.0,1688.75,4.969166666666666,1.0747649999999999e-07,1.1608433333333333e-08
1110.0,1688.75,4.969166666666666,0.0,0.0
1140.0,1688.75,4.969166666666666,0.0,0.0
1170.0,1688.75,4.969166666666666,0.0,0.0
1200.0,1688.75,4.969166666666666,0.0,0.0
1230.0,1688.75,4.969166666666666,0.0,0.0
1260.0,1688.75,4.969166666666666,0.0,0.0
1290.0,1688.75,4.969166666666666,0.0,0.0
1320.0,1688.75,4.969166666666666,0.0,0.0
1350.0,1688.75,4.969166666666666,0.0,0.0
1380.0,1688.75,4.969166666666666,0.0,0.0
1410.0,1688.75,4.969166666666666,0.0,0.0
1440.0,1688.75,4.969166666666666,0.0,0.0
